StateID,StartYear,EndYear,PersonID,Name,Position ID,Position Name,Race,Gender,Party,Age
1,"May 7, 1968","January 18, 1971",1000,Albert Brewer,1000,Governor,,Male,Democratic,40
1,1/19/71,"January 15, 1979",1001,George Wallace,1001,Governor,,Male,Democratic,44
1,"January 16, 1979","January 17, 1983",1002,Fob James,1000,Governor,,Male,Democratic,45
1,"January 18, 1983","January 19, 1987",1001,George Wallace,1000,Governor,,Male,Democratic,52
1,"January 20, 1987","April 22, 1993",1003,H. Guy Hunt,1000,Governor,,Male,Republican,54
1,"April 22, 1993","January 16, 1995",1004,Jim Folsom Jr.,1000,Governor,,Male,Democratic,44
1,"January 17, 1995","January 18, 1999",1002,Fob James,1000,Governor,,Male,Republican,61
1,"January 19, 1999","January 20, 2003",1005,Don Siegelman,1000,Governor,,Male,Democratic,53
1,"January 21, 2003","January 17, 2011",1006,Bob Riley,1000,Governor,,Male,Republican,59
1,"January 18, 2011","April 10, 2017",1007,Robert J. Bentley,1000,Governor,,Male,Republican,68
1,"April 10, 2017",present,1008,Kay Ivey,1000,Governor,,Female,Republican,73
2,1/29/69,December 7 1970,1009,Keith Harvey Miller,1000,Governor,,Male,Republican,
2,12/7/70,December 2 1974,1010,William Allen Egan,1000,Governor,,Male,Democratic,
2,12/2/74,December 6 1982,1011,Jay Hammond,1000,Governor,,Male,Republican,
2,12/6/82,December 1 1986,1012,Bill Sheffield,1000,Governor,,Male,Democratic,
2,12/1/86,December 3 1990,1013,Steve Cowper,1000,Governor,,Male,Democratic,
2,12/3/90,December 5 1994,1014,Wally Hickel,1000,Governor,,Male,Independent,
2,12/5/94,December 2 2002,1015,Tony Knowles,1000,Governor,,Male,Democratic,
2,12/2/02,December 4 2006,1016,Frank Murkowski,1000,Governor,,Male,Republican,
2,12/4/06,July 26 2009,1017,Sarah Palin,1000,Governor,,Female,Republican,
2,7/26/09,December 1 2014,1018,Sean Parnell,1000,Governor,,Male,Republican,
2,12/1/14,December 3 2018,1019,Bill Walker,1000,Governor,,Male,Independent,
2,12/3/18,Present,1020,Mike J. Dunleavy,1000,Governor,,Male,Republican,
3,"January 2, 1967","January 6, 1975",1021,Jack Richard Williams,1000,Governor,,Male,Republican,
3,"January 6, 1975","October 20, 1977",1022,Raúl Héctor Castro,1000,Governor,,Male,Democratic,
3,"October 20, 1977","March 4, 1978",1023,Wesley Bolin,1000,Governor,,Male,Democratic,
3,"March 4, 1978","January 5, 1987",1024,Bruce Babbitt,1000,Governor,,Male,Democratic,
3,"January 5, 1987","April 4, 1988",1025,Evan Mecham,1000,Governor,,Male,Republican,
3,"April 4, 1988","March 6, 1991",1026,Rose Mofford,1000,Governor,,Female,Democratic,
3,"March 6, 1991","September 5, 1997",1027,Fife Symington,1000,Governor,,Male,Republican,
3,"September 5, 1997","January 6, 2003",1028,Jane Dee Hull,1000,Governor,,Female,Republican,
3,"January 6, 2003","January 21, 2009",1029,Janet Napolitano,1000,Governor,,Female,Democratic,
3,"January 21, 2009","January 5, 2015",1030,Jan Brewer,1000,Governor,,Female,Republican,
3,"January 5, 2015",present,1031,Doug Ducey,1000,Governor,,Male,Republican,
4,"January 12, 1971","January 3, 1975",1032,Dale Bumpers,1000,Governor,,Male,Democratic,
4,"January 3, 1975","January 14, 1975",1033,Bob C. Riley,1000,Governor,,Male,Democratic,
4,"January 14, 1975","January 3, 1979",1034,David Pryor,1000,Governor,,Male,Democratic,
4,"January 3, 1979","January 9, 1979",1035,Joe Purcell,1000,Governor,,Male,Democratic,
4,"January 9, 1979","January 19, 1981",1036,Bill Clinton,1000,Governor,,Male,Democratic,
4,"January 19, 1981","January 11, 1983",1037,Frank D. White,1000,Governor,,Male,Republican,
4,"January 11, 1983","December 12, 1992",1036,Bill Clinton,1000,Governor,,Male,Democratic,
4,"December 12, 1992","July 15, 1996",1038,Jim Guy Tucker,1000,Governor,,Male,Democratic,
